date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-29 17:42:57,INCIndia,,122,460,1168,"Today India's voice resonated loud & clear to the insensitive BJP govt. The Congress Party will always stand with you & will always raise your voice. #SpeakUpAgainstFuelHikepic.twitter.com/fzVBIvUt8l",,,#SpeakUpAgainstFuelHikepic,1277658831762280448,https://twitter.com/INCIndia/status/1277658831762280448
2020-06-29 16:51:20,OmarAbdullah,,986,2287,21396,"If only #PUBG had been a Chinese app a lot of youngsters in India would have found more time on their hands for studies & nation building.",,,#PUBG,1277645839935000576,https://twitter.com/OmarAbdullah/status/1277645839935000576
2020-06-29 16:49:20,PMOIndia,,10889,32367,185730,"Prime Minister @narendramodi will address the nation at 4 PM tomorrow.",,@narendramodi,,1277645338963087360,https://twitter.com/PMOIndia/status/1277645338963087360
2020-06-29 16:10:22,OmarAbdullah,,167,252,2779,"Quick check of phone, no Chinese apps. Now apps with Chinese money invested in them would have been a completely different story.",,,,1277635531623428097,https://twitter.com/OmarAbdullah/status/1277635531623428097
2020-06-29 16:00:00,INCIndia,,384,1469,5833,"#SpeakUpAgainstFuelHike की जोरदार सफलता ने साबित कर दिया कि भाजपा का तेल के नाम पर खेल ज्यादा दिन तक नहीं चल पाएगा !",,,#SpeakUpAgainstFuelHike,1277632922464501764,https://twitter.com/INCIndia/status/1277632922464501764
2020-06-29 15:51:31,Dev_Fadanvis,faijalkhantroll,0,0,0,"https://twitter.com/faijalkhantroll/status/1275043866257678336 …",,,,1277630788704468992,https://twitter.com/Dev_Fadanvis/status/1277630788704468992
2020-06-29 15:32:46,Dev_Fadanvis,CarryMinati,0,0,0,"#TikTok Banned in India!",,,#TikTok,1277626067558121472,https://twitter.com/Dev_Fadanvis/status/1277626067558121472
2020-06-29 15:31:43,Dev_Fadanvis,,0,1,1,"भारत सरकारने ५९ चीनी एप वर बंदी घातली आहे! #TikTok #tiktokbanindia #tiktokbanindiapic.twitter.com/iIu9IWR0HR",,,#TikTok #tiktokbanindia #tiktokbanindiapic,1277625805657366532,https://twitter.com/Dev_Fadanvis/status/1277625805657366532
2020-06-29 15:29:26,mkstalin,,281,2340,4574,"#JayarajandFenix கொலைகளை விசாரிக்கும் நீதிபதியை போலீஸ் அதிகாரிகள் ஒருமையில் மிரட்டியிருக்கிறார்கள். இதனால் விசாரணையை திருச்செந்தூருக்கு மாற்றியிருக்கிறார் நீதிபதி! என்ன நடக்கிறது இங்கு? நாட்டை ஆள்வது யார்? நீதிபதிக்கே மிரட்டலா? கைது செய்ய தைரியமற்றவருக்கு முதல்வர் பதவி எதற்கு?pic.twitter.com/qbGyURw8kD",,,#JayarajandFenix,1277625231008346112,https://twitter.com/mkstalin/status/1277625231008346112
2020-06-29 15:18:30,SachinPilot,,387,926,4516,"जहां एक तरफ पूरा देश और दुनिया कोरोना महामारी से जूझ रहे हैं वहीं दूसरी तरफ केंद्र सरकार बार-बार पेट्रोल-डीजल के दाम बढ़ाकर मध्यम वर्ग, गरीब वर्ग एवं किसानों पर आर्थिक प्रहार करने का काम कर रही है। #SpeakUpAgainstFuelHikepic.twitter.com/HKgvO0AG5s",,,#SpeakUpAgainstFuelHikepic,1277622476814659587,https://twitter.com/SachinPilot/status/1277622476814659587
2020-06-29 15:15:00,INCIndia,,368,3522,9491,"We couldn't have said it better ourselves. #SpeakUpAgainstFuelHikepic.twitter.com/STC9O1ciO8",,,#SpeakUpAgainstFuelHikepic,1277621596409085955,https://twitter.com/INCIndia/status/1277621596409085955
2020-06-29 15:04:44,BJP4India,,20,226,891,"Up to the Burma border tri-junction, it is 4,057 km original border of ours drawn on our maps. So therefore we don’t talk on 3,488 km (LAC). Both countries should behave & act maturely as they are seen as rising powers of the 21st century: Former Army Chief General JJ Singhpic.twitter.com/iWrv0HbnLO",,,,1277619014408171524,https://twitter.com/BJP4India/status/1277619014408171524
2020-06-29 14:56:59,BJP4India,,40,297,1198,"China has to be told that India is asking it to go back to where it came forward from. As we’re getting stronger, we ought to not have kneejerk reactions in the military capabilities: General J J Singh on how India should move ahead on the China situationpic.twitter.com/91SOHRNipZ",,,,1277617062098001924,https://twitter.com/BJP4India/status/1277617062098001924
2020-06-29 14:50:29,BJP4India,,45,481,2203,"We should never allow Siachen to be vacated, even if they (Pak) agree. Our men are well acclimatized, trained and equipped. It was a wise decision not to allow Mr. Saran and his ‘mountain of peace’ plan to succeed: Former Army Chief General J J Singh on our troops in Siachenpic.twitter.com/zbHzL5NVAv",,,,1277615427489722369,https://twitter.com/BJP4India/status/1277615427489722369
2020-06-29 14:50:00,INCIndia,,73,386,1081,"बिहार कांग्रेस के कार्यकर्ताओं ने @INCBihar अध्यक्ष श्री @DrMadanMohanJha के नेतृत्व में पेट्रोल-डीजल की बढ़ती कीमतों के खिलाफ प्रदर्शन किया। हम हमेशा लोगों के साथ खड़े रहेंगे और हम हर अन्याय से लड़ेंगे। #SpeakUpAgainstFuelHikepic.twitter.com/YN3wedlRYU",,@INCBihar @DrMadanMohanJha,#SpeakUpAgainstFuelHikepic,1277615304777125896,https://twitter.com/INCIndia/status/1277615304777125896
2020-06-29 14:45:00,INCIndia,,8,63,133,"@INCRajasthan के अध्यक्ष श्री @SachinPilot ने विरोध प्रदर्शन का नेतृत्व किया और एक प्रेस वार्ता आयोजित की, जिसमें ईंधन पर केंद्रीय सरकार के कर आतंकवाद के खिलाफ आम आदमी की आवाज़ को बुलंद कर भाजपा सरकार को घेरा। #SpeakUpAgainstFuelHikepic.twitter.com/qpUqoVwTFj",,@INCRajasthan @SachinPilot,#SpeakUpAgainstFuelHikepic,1277614046997430273,https://twitter.com/INCIndia/status/1277614046997430273
2020-06-29 14:40:00,INCIndia,,18,184,525,". @INCOdisha PCC President @NPatnaikOdisha speaks to the common people about the pain of rising fuel prices. Congress workers in state also held a dharna against the BJP govt. #SpeakUpAgainstFuelHikepic.twitter.com/BB1znXHUO4",,@INCOdisha @NPatnaikOdisha,#SpeakUpAgainstFuelHikepic,1277612788135931905,https://twitter.com/INCIndia/status/1277612788135931905
2020-06-29 14:35:00,INCIndia,,27,231,585,"Shri @MoirangthemOke2 leads his party workers in Manipur at a dharna against the anti-people BJP govt. The rising fuel prices have cause havoc for the poor & middle class across India. #SpeakUpAgainstFuelHikepic.twitter.com/5e2GusaEEI",,@MoirangthemOke2,#SpeakUpAgainstFuelHikepic,1277611530167574529,https://twitter.com/INCIndia/status/1277611530167574529
2020-06-29 14:34:28,BJP4India,,33,275,1122,"I believe the political will now (under PM Modi) is much more firm and orders are being given clearly. We’ve to reset and reboot our strategy vis-à-vis China: Former Army Chief General J J Singh on India-China issuepic.twitter.com/h4qe2BuugX",,,,1277611395274555393,https://twitter.com/BJP4India/status/1277611395274555393
2020-06-29 14:30:47,BJP4India,,18,211,702,"Mr. Shyam Saran is wrong. My only view was it will be very difficult to regain our positions if we vacated them. Pakistan's people must know that Pak Army is bluffing them and they were never near the Siachen glacier: Former Army Chief General J J Singh on UPA’s stand on Siachenpic.twitter.com/7WouMjiAsC",,,,1277610470480830467,https://twitter.com/BJP4India/status/1277610470480830467
2020-06-29 14:30:00,INCIndia,,24,177,445,". @INCTripura PCC President Shri @sradvbiswas & Congress workers line the streets to protest the exorbitant fuel prices & their damaging impact on the common man. #SpeakUpAgainstFuelHikepic.twitter.com/2SxBTtcA9h",,@INCTripura @sradvbiswas,#SpeakUpAgainstFuelHikepic,1277610272908247042,https://twitter.com/INCIndia/status/1277610272908247042
2020-06-29 14:29:41,BJP4India,,25,244,887,"There couldn't have been a better way to respond to the Chinese. They only understand strength and force. An autobiographer writes– the Chinese take one step and then look around for a reaction. If there’s none, they keep moving ahead: Former Army Chief General J J Singhpic.twitter.com/ptkIRdDjSk",,,,1277610193807794176,https://twitter.com/BJP4India/status/1277610193807794176
2020-06-29 14:25:00,INCIndia,,22,290,715,"Padma Shri P. Gopinathan Nair urges the Govt to understand the misery of the people and provide relief to the common man by reducing fuel prices. #SpeakUpAgainstFuelHikepic.twitter.com/KrnDnwAmer",,,#SpeakUpAgainstFuelHikepic,1277609013354483712,https://twitter.com/INCIndia/status/1277609013354483712
2020-06-29 14:20:00,INCIndia,,32,245,675,". @INCChandigarh workers remind the BJP how their policies have killed the common man & emptied out his pockets, through their protest against fuel price rise. #SpeakUpAgainstFuelHikepic.twitter.com/26rWIWPLGo",,@INCChandigarh,#SpeakUpAgainstFuelHikepic,1277607755013120001,https://twitter.com/INCIndia/status/1277607755013120001
2020-06-29 14:15:00,INCIndia,,0,25,36,"@INCJammuKashmir के नेताओं और कार्यकर्ताओं ने भाजपा सरकार से ईंधन की बढ़ी हुई कीमतें वापस लेने की मांग कर विरोध प्रदर्शन किया है। #SpeakUpAgainstFuelHikepic.twitter.com/bEAMi8zFY8",,@INCJammuKashmir,#SpeakUpAgainstFuelHikepic,1277606497183084551,https://twitter.com/INCIndia/status/1277606497183084551
2020-06-29 14:10:00,INCIndia,,30,246,710,". @INCHaryana PCC President @kumari_selja leads a protest against the continuous hike in fuel prices over the last 3 weeks. #SpeakUpAgainstFuelHikepic.twitter.com/fchADCrv7x",,@INCHaryana @kumari_selja,#SpeakUpAgainstFuelHikepic,1277605238388604928,https://twitter.com/INCIndia/status/1277605238388604928
2020-06-29 14:05:00,INCIndia,,12,200,574,". @INCGoa leaders submitted a memorandum to the Hon’ble President of India through the South Goa Collectorate on the unjust increase in taxes on Diesel and Petrol. #SpeakUpAgainstFuelHikepic.twitter.com/OGbyIXHj29",,@INCGoa,#SpeakUpAgainstFuelHikepic,1277603980538007554,https://twitter.com/INCIndia/status/1277603980538007554
2020-06-29 14:00:00,INCIndia,,35,268,753,". @INCGujarat अध्यक्ष श्री @AmitChavdaINC और कांग्रेस कार्यकर्ताओं ने महामारी के दौरान ईंधन की कीमतें बढ़ाने के भाजपा सरकार के बेरहम फैसले के खिलाफ नारे लगाते हुए सड़कों पर मार्च किया। #SpeakUpAgainstFuelHikepic.twitter.com/oeU7vru75p",,@INCGujarat @AmitChavdaINC,#SpeakUpAgainstFuelHikepic,1277602723978866691,https://twitter.com/INCIndia/status/1277602723978866691
2020-06-29 13:55:00,INCIndia,,13,149,353,". @INCHimachal अध्यक्ष श्री कुलदीप सिंह राठौड़ और हिमाचल प्रदेश कांग्रेस कार्यकर्ता ईंधन की बढ़ती कीमतों और असंवेदनशील भाजपा सरकार के विरोध में शिमला की सड़कों पर प्रदर्शन करते हुए। #SpeakUpAgainstFuelHikepic.twitter.com/cIYaG89rp9",,@INCHimachal,#SpeakUpAgainstFuelHikepic,1277601463506632708,https://twitter.com/INCIndia/status/1277601463506632708
2020-06-29 13:50:00,INCIndia,,19,242,672,"पेट्रोल-डीजल की कीमतों में दिन-प्रतिदिन हो रही वृद्धि देशवासियों को चिंता में डाल रही है। पेट्रोल-डीजल के बढ़ते दामों के कारण परिवहन खर्च भी बढ़ रहा है, जिससे महंगाई बढ़ रही है। अरुणाचल प्रदेश भी हमारी #SpeakUpAgainstFuelHike मुहिम से जुड़कर आवाज उठा रहा है।pic.twitter.com/GAygHNt9Px",,,#SpeakUpAgainstFuelHike,1277600205341327360,https://twitter.com/INCIndia/status/1277600205341327360
2020-06-29 13:47:32,priyankagandhi,,646,2586,9894,"... देश की सरज़मीं को गँवा डाले, उस सरकार के ख़िलाफ़ लड़ने की हिम्मत बनानी पड़ेगी। 2/2",,,,1277599586777874433,https://twitter.com/priyankagandhi/status/1277599586777874433
2020-06-29 13:47:31,priyankagandhi,,2525,5613,20291,"जैसे कि मैंने कहा था कि कुछ विपक्ष के नेता भाजपा के अघोषित प्रवक्ता बन गए हैं, जो मेरी समझ से परे है। इस समय किसी राजनीतिक दल के साथ खड़े होने का कोई मतलब नहीं है। हर हिंदुस्तानी को हिंदुस्तान के साथ खड़ा होना होगा, हमारी सरजमीं की अखंडता के साथ खड़ा होना होगा। और जो सरकार..1/2pic.twitter.com/2reTNjnWKN",,,,1277599580318609408,https://twitter.com/priyankagandhi/status/1277599580318609408
2020-06-29 13:45:00,INCIndia,,38,310,852,". @INCHaryana अध्यक्षा @kumari_selja ने पेट्रोल-डीजल की बढ़ती कीमतों के कारण परेशानियों का सामना कर रही जनता के साथ चर्चा की। #SpeakUpAgainstFuelHikepic.twitter.com/JWtvRgCOGO",,@INCHaryana @kumari_selja,#SpeakUpAgainstFuelHikepic,1277598947071025152,https://twitter.com/INCIndia/status/1277598947071025152
2020-06-29 13:40:00,INCIndia,,22,211,522,"पेट्रोल-डीजल की बढ़ती कीमतों ने किसानों की हालत बदतर कर दी है। फसल के सीजन में किसानों पर पेट्रोल-डीजल की कीमतें बढ़ाकर आर्थिक अत्याचार किया जा रहा है। मध्यप्रदेश भी हमारे #SpeakUpAgainstFuelHike अभियान से जुड़कर अपनी आवाज सरकार तक पहुंचा रहा है।pic.twitter.com/bJUfpn7qb0",,,#SpeakUpAgainstFuelHike,1277597688448585728,https://twitter.com/INCIndia/status/1277597688448585728
2020-06-29 13:33:00,INCIndia,,37,193,514,"मोदी सरकार ने जब सत्ता संभाली थी, तब पेट्रोल-डीजल के दाम कम करने का वादा किया था। लेकिन पेट्रोल-डीजल की कीमतें बढ़ाकर देश की जनता पर वार कर रही है। असम के युवा हमारे #SpeakUpAgainstFuelHike अभियान से जुड़कर अपनी आवाज बुलंद कर रहे हैं।pic.twitter.com/LKMPJEEyOM",,,#SpeakUpAgainstFuelHike,1277595927268777985,https://twitter.com/INCIndia/status/1277595927268777985
2020-06-29 13:27:16,Mayawati,,40,316,1478,"pic.twitter.com/szttcX06Lb",,,,1277594484943929345,https://twitter.com/Mayawati/status/1277594484943929345
2020-06-29 13:27:13,Mayawati,,26,333,1526,"pic.twitter.com/vCM1ctMMMH",,,,1277594474483339265,https://twitter.com/Mayawati/status/1277594474483339265
2020-06-29 13:27:10,Mayawati,,171,593,3059,"29-06-2020-BSP PRESS NOTE-3 pagespic.twitter.com/7vVA8YyMSc",,,,1277594460738580480,https://twitter.com/Mayawati/status/1277594460738580480
2020-06-29 13:26:00,INCIndia,,44,269,856,". @INCChhattisgarh अध्यक्ष, श्री @MohanMarkamPCC ने राज्य में कांग्रेस कार्यकर्ताओं के साथ साइकिल यात्रा निकाल पेट्रोल-डीजल की बढ़ती कीमतों के खिलाफ प्रदर्शन किया। #SpeakUpAgainstFuelHikepic.twitter.com/VNm5TBeUIU",,@INCChhattisgarh @MohanMarkamPCC,#SpeakUpAgainstFuelHikepic,1277594165283438592,https://twitter.com/INCIndia/status/1277594165283438592
2020-06-29 13:24:49,mkstalin,,121,1561,3323,"இரு அப்பாவிகளின் உயிர்பறித்த குற்றவாளிகளைப் பாதுக்காக்க இன்னும் என்னென்ன செய்ய போகிறீர்கள் @CMOTamilNadu? பதவியை தவறாக பயன்படுத்துபவர்களிடம் இருந்து மக்களை காக்க வேண்டிய முதலமைச்சரே செயலற்று இருப்பது ஏன்? முதல்வரின் பலவீனம் அதிர்ச்சியளிக்கிறது. #JUSTICEFORJAYARAJANDBENNIX",,@CMOTamilNadu,#JUSTICEFORJAYARAJANDBENNIX,1277593868905484289,https://twitter.com/mkstalin/status/1277593868905484289
