date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-06-29 18:30:55,JM_Scindia,,65,276,1493,"आज बैरसिया में दिवंगत कृषक श्री किशोरीलाल के निवास पर जाकर उनके परिजनों के साथ मुलाकात कर उन्हें सांत्वना दिया और उनका ढाढ़स बँधाने की कोशिश की।pic.twitter.com/zabKdBwopd",,,,1012765371097665536,https://twitter.com/JM_Scindia/status/1012765371097665536
2018-06-29 17:15:37,BJP4India,mansukhmandviya,37,660,1584,"Products like Glucometer at half the market price, oxo-biodegradable sanitary napkins at Rs. 2.50/pad are available at over 3,600 #PMBJP Kendras across India. Dial 18008436666 to locate your nearest Kendra. It's a #SilentRevolution towards making healthcare affordable in India.https://twitter.com/mansukhmandviya/status/1012628527525425152 …",,,#PMBJP #SilentRevolution,1012746422612037632,https://twitter.com/BJP4India/status/1012746422612037632
2018-06-29 16:26:29,narendramodi,,459,1871,8928,"Delighted to meet these young members belonging to the team of Mission Shaurya. Students from this group successfully scaled Mt. Everest in May. I had also spoken about them during the #MannKiBaat programme last month.pic.twitter.com/KLntihXUGi",,,#MannKiBaat,1012734058789572609,https://twitter.com/narendramodi/status/1012734058789572609
2018-06-29 16:22:23,narendramodi,,415,1823,7847,"An unparalleled focus on top quality and affordable healthcare.pic.twitter.com/O2fPGZBeSr",,,,1012733025828921349,https://twitter.com/narendramodi/status/1012733025828921349
2018-06-29 16:21:41,narendramodi,,249,1644,6255,"Regarding the health sector, our endeavour is to strengthen existing infrastructure and create better healthcare facilities in small towns and villages.pic.twitter.com/Nl3lqOwPHV",,,,1012732848481153024,https://twitter.com/narendramodi/status/1012732848481153024
2018-06-29 16:21:14,narendramodi,,214,1638,6283,"Earlier today at AIIMS, dedicated key projects to the nation and laid the foundation stone for various initiatives as well. These projects augur well for the country’s health sector.pic.twitter.com/NfYYGgdJyA",,,,1012732734631038976,https://twitter.com/narendramodi/status/1012732734631038976
2018-06-29 16:08:37,narendramodi,,1624,4508,22242,"मैंने किसानों से आग्रह किया कि वे टपक सिंचाई, सोलर पंप, और नवीनतम कृषि तकनीक का उपयोग करें एवं अपने खेतों में सोलर पैनल लगाएं। साथ ही उनसे कृषि से निकलने वाले अपशिष्ट को पोषक तत्वों के स्रोत के रूप में प्रयोग करने का भी आग्रह किया जिससे उन्हें अपनी आय बढ़ाने में मदद मिलेगी।",,,,1012729562239823872,https://twitter.com/narendramodi/status/1012729562239823872
2018-06-29 16:08:05,narendramodi,,1309,4762,23859,"गन्ना किसानों को यह बताते हुए काफी ख़ुशी हुई कि कैबिनेट की अगली बैठक में आने वाले खरीफ सीजन के अधिसूचित फसलों के लिए MSP उसकी लागत का 150% को लागू करने की मंजूरी दे दी जाएगी।",,,,1012729425211936770,https://twitter.com/narendramodi/status/1012729425211936770
2018-06-29 16:07:14,narendramodi,,517,2301,9203,"आज देश के अलग-अलग हिस्सों के गन्ना किसानों से मिलकर अत्यंत खुशी हुई। MSP से लेकर किसानों की आय बढ़ाने एवं कृषि संबंधी विभिन्न मुद्दों पर उनके साथ व्यापक चर्चा हुई। http://nm-4.com/o4l6 pic.twitter.com/fyg2xvnsz4",,,,1012729211956727809,https://twitter.com/narendramodi/status/1012729211956727809
2018-06-29 15:54:03,BJP4India,,28,504,1441,"Watch what the sugarcane farmers had to say after meeting PM Modi at his residence.pic.twitter.com/pjdJw7AjgE",,,,1012725892903251968,https://twitter.com/BJP4India/status/1012725892903251968
