date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-04-29 17:03:53,ncbn,,14,43,98,"Discussed about AP-Japan ties in a meeting in with Yoichi Miyazawa, Minister for Economy, Trade & Industry, Japan.pic.twitter.com/ERw13UxTIY",,,,593460709549150209,https://twitter.com/ncbn/status/593460709549150209
2015-04-29 16:15:22,INCIndia,,46,135,121,"Congress VP Rahul Gandhi on board Indigo flight en route to Nagpurpic.twitter.com/pAZMKkrQgr",,,,593448497073917952,https://twitter.com/INCIndia/status/593448497073917952
2015-04-29 15:51:20,OmarAbdullah,,43,106,96,"A friend asked me to tweet so pls Help Rebuild Nepal. Donate to #NepalQuakeRelief; For updates on what and how follow @EonIndia. Please RT.",,@EonIndia,#NepalQuakeRelief,593442452020695041,https://twitter.com/OmarAbdullah/status/593442452020695041
2015-04-29 15:35:53,AmitShah,,22,103,158,"Met UK High Commissioner Sir @HcJamesBevan on 24th, we discussed how to further strengthen Indo-UK cooperation.pic.twitter.com/fFGCFgxgsU",,@HcJamesBevan,,593438562449657857,https://twitter.com/AmitShah/status/593438562449657857
2015-04-29 15:34:17,laluprasadrjd,yadavtejashwi,22,51,60,"हल नहीं तो कल नहींhttps://twitter.com/yadavtejashwi/status/593436962184265728 …",,,,593438158777225216,https://twitter.com/laluprasadrjd/status/593438158777225216
2015-04-29 15:24:13,AmitShah,,12,117,159,"Met Amb Mr Richier on 24th & discussed future course of partnership b/w India-France post visit of PM @Narendramodipic.twitter.com/fUYBqhXlUm",,@Narendramodipic,,593435626784956416,https://twitter.com/AmitShah/status/593435626784956416
2015-04-29 14:45:56,MamataOfficial,,47,105,84,"#NoToBandh",,,#NoToBandh,593425991554445312,https://twitter.com/MamataOfficial/status/593425991554445312
2015-04-29 14:41:34,AmitShah,,11,111,150,"Met German Amb @Amb_MSteiner , We discussed Nepal crisis & also Indo-German collaboration in skill devlpment of SMEs.pic.twitter.com/mJgdCc0nBI",,@Amb_MSteiner,,593424891614887937,https://twitter.com/AmitShah/status/593424891614887937
2015-04-29 14:39:21,INCIndia,INCIndia,21,74,56,"Rahul Gandhi will also be visiting Rajana Village & Tonglabad Village, of Chandur Railway Tehsil in Amravati Distt. #RGKisaanPadyatra",,,#RGKisaanPadyatra,593424336561672192,https://twitter.com/INCIndia/status/593424336561672192
2015-04-29 14:37:01,INCIndia,,31,92,67,"Rahul Gandhi will embark on a Padyatra starting from Gunji Village, Dhamangaon Railway Tehsil,District – Amravati tomorrow #RGKisaanPadyatra",,,#RGKisaanPadyatra,593423748746772480,https://twitter.com/INCIndia/status/593423748746772480
2015-04-29 14:36:04,AmitShah,,20,146,175,"Discussed humanitarian crisis in Nepal& also expanding bilateral ties in agricultr sec with Israel Amb @danielocarmonpic.twitter.com/ZHOx86WRzd",,@danielocarmonpic,,593423511051378689,https://twitter.com/AmitShah/status/593423511051378689
2015-04-29 14:31:32,INCIndia,,12,66,63,"Congress VP Rahul Gandhi on board Indigo flight en route to Nagpurpic.twitter.com/ur2ynnEsoP",,,,593422369231802368,https://twitter.com/INCIndia/status/593422369231802368
2015-04-29 13:44:38,PMOIndia,,96,295,601,"Mr. Yoichi Miyazawa, Minister for Economy, Trade and Industry, Japan called on PM @narendramodi.pic.twitter.com/XKVS5C8HOn",,@narendramodi,,593410564149235712,https://twitter.com/PMOIndia/status/593410564149235712
2015-04-29 13:28:13,JM_Scindia,,12,47,53,"Question in Lok Sabha: Tourist visa-on-arrival and direct flights to tourist spots. (27 April 2015)http://goo.gl/u0nC4Q",,,,593406434659815424,https://twitter.com/JM_Scindia/status/593406434659815424
2015-04-29 13:09:01,narendramodi,,213,597,1235,"Met a delegation of media persons from Madhya Pradesh.http://nm4.in/1QIsSXL",,,,593401603584987136,https://twitter.com/narendramodi/status/593401603584987136
2015-04-29 11:37:42,INCIndia,INCIndia,11,53,38,"These actions reveal the real 'chal-charitra' & 'chehra' of Modi-sarkar and shows its true intent: Rajeev Gowda",,,,593378621374402561,https://twitter.com/INCIndia/status/593378621374402561
2015-04-29 11:36:04,INCIndia,INCIndia,3,52,31,"The Food Security Act, the implementation of which has been extended by the BJP-govt, will actually never get implemented: Rajeev Gowda",,,,593378209455943680,https://twitter.com/INCIndia/status/593378209455943680
2015-04-29 11:33:54,INCIndia,INCIndia,2,43,18,"In effect, the Food Corporation of India will not be in a position to procure grains from farmers: Rajeev Gowda",,,,593377666415263744,https://twitter.com/INCIndia/status/593377666415263744
2015-04-29 11:31:47,INCIndia,INCIndia,3,45,16,"This has arisen because of gross under-allocation by the govt to Food ministry, which is facing Rs 26,429 cr cut in Budget Estimate 2015-16",,,,593377131641483264,https://twitter.com/INCIndia/status/593377131641483264
2015-04-29 11:30:07,INCIndia,INCIndia,2,49,18,"This has been revealed by the Parliamentary Standing Committee on Food & Public Distribution: Rajeev Gowda",,,,593376713083457536,https://twitter.com/INCIndia/status/593376713083457536
2015-04-29 11:29:17,INCIndia,,11,83,38,"There is more shock in store for farmers. There is a shortfall of 81 k cr of subsidy payable by the Food ministry to the Food Corp of India.",,,,593376504819548160,https://twitter.com/INCIndia/status/593376504819548160
