date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-09-29 18:00:44,PMOIndia,,503,1131,2493,"Returning to Delhi after a visit that has created several successful outcomes & opportunities for India.pic.twitter.com/kh4yIrx4Xz",,,,648920359782080513,https://twitter.com/PMOIndia/status/648920359782080513
2015-09-29 16:21:49,arunjaitley,,114,481,563,"Satisfying, our efforts are paying off. India becomes the Highest FDI destination for Greenfield projects.",,,,648895465879007232,https://twitter.com/arunjaitley/status/648895465879007232
2015-09-29 15:30:03,INCIndia,,62,207,175,"देश में मौन व्रत धारण, और विदेश में चाहिये सर्टिफ़िकेट !pic.twitter.com/aYx4svMZAa",,,,648882436340772864,https://twitter.com/INCIndia/status/648882436340772864
2015-09-29 15:24:54,INCIndia,,44,252,235,"सत्यमेव जयतेpic.twitter.com/92sTa4GwPy",,,,648881139982032896,https://twitter.com/INCIndia/status/648881139982032896
2015-09-29 14:32:28,MamataOfficial,,56,426,457,"Visited @RashtrapatiBhvn. It was an honour to hand over the digitized version of declassified Netaji Files to the President of India",,@RashtrapatiBhvn,,648867945666383872,https://twitter.com/MamataOfficial/status/648867945666383872
2015-09-29 14:30:34,mkstalin,,37,80,210,"நமக்கு நாமே பயணத்தின் 10ம் நாளான இன்று சிவகங்கையில் பல்வேறு தரப்பட்ட மக்களை சந்தித்து கலந்துரையாடி ஆலோசனைகளை பெற்றேன்pic.twitter.com/PyGyFIjxbe",,,,648867468509777920,https://twitter.com/mkstalin/status/648867468509777920
2015-09-29 14:03:05,OmarAbdullah,thevirdas,11,17,45,"The Toshiba elevator one. Can't believe anyone would buy one from them based on that ad :)https://twitter.com/thevirdas/status/648854807533391876 …",,,,648860551746093059,https://twitter.com/OmarAbdullah/status/648860551746093059
2015-09-29 13:44:45,BJP4India,,8,82,140,"BJP welcomes the reduction in interest rates by RBI: Shri @sidharthnsingh - http://bit.ly/1KI4UbU",,@sidharthnsingh,,648855939605483520,https://twitter.com/BJP4India/status/648855939605483520
2015-09-29 12:32:03,BJP4India,,27,162,238,"Joint press briefing by PM @narendramodi & @POTUS on India-US bilateral meeting in New York - http://n-m4.in/1VmvmKU pic.twitter.com/LwcFCzWLut",,@narendramodi @POTUS,,648837642914656256,https://twitter.com/BJP4India/status/648837642914656256
2015-09-29 12:00:20,BJP4India,,10,111,162,"एकात्म मानववाद एवं अंत्योदय के प्रणेता, हमारे प्रेरणा स्रोत पं दीनदयाल उपाध्याय के जन्म शताब्दी वर्ष पर श्रद्धांजलि।pic.twitter.com/E9hXDBItdD",,,,648829662135619584,https://twitter.com/BJP4India/status/648829662135619584
2015-09-29 08:26:41,ncbn,,40,64,207,"Highlighted need for public representatives in the House to actively participate in discussions & not disrupt House.pic.twitter.com/A6dki62JXi",,,,648775895835021312,https://twitter.com/ncbn/status/648775895835021312
2015-09-29 08:23:46,PMOIndia,,101,350,1099,"A brief stopover at Frankfurt.pic.twitter.com/0FXquqfS89",,,,648775161584287744,https://twitter.com/PMOIndia/status/648775161584287744
2015-09-29 07:30:33,BJP4India,,36,188,269,"India’s commitment to @UN Peacekeeping remains strong & will grow: PM @narendramodi http://n-m4.in/1LY6ggB pic.twitter.com/rCuxXnWv8w",,@UN @narendramodi,,648761769553469441,https://twitter.com/BJP4India/status/648761769553469441
2015-09-29 06:53:01,AmitShah,,27,136,248,"Express my deepest condolences to the family of Shri Ram Kapse ji our senior leader & former Lt. Gov of Andaman & Nicobar on his sad demise",,,,648752320822382592,https://twitter.com/AmitShah/status/648752320822382592
2015-09-29 06:03:22,BJP4India,,62,390,555,"Shri APJ Sheikh Salim, Grand Nephew of Dr APJ Abdul Kalam joined BJP in the presence of Shri Amit Shah (Sep 28,2015).pic.twitter.com/qpiWIB64OT",,,,648739827165229056,https://twitter.com/BJP4India/status/648739827165229056
2015-09-29 05:58:53,MamataOfficial,,9,56,74,"On this day in 1942, Matangini Hazra laid down her life for the nation. My salute to her martyrdom",,,,648738697874173952,https://twitter.com/MamataOfficial/status/648738697874173952
2015-09-29 05:45:21,ArvindKejriwal,,1327,1526,1182,"If we make India strong, investments will come at our terms, else investors will dictate terms(4/4)",,,,648735295249227776,https://twitter.com/ArvindKejriwal/status/648735295249227776
2015-09-29 05:45:05,ArvindKejriwal,,1059,1363,1065,"For instance, Chinese first built China and then all corporate giants vied to invest in China. So, lets first Make India(3/4)",,,,648735225653039104,https://twitter.com/ArvindKejriwal/status/648735225653039104
2015-09-29 05:44:40,ArvindKejriwal,,1130,1214,832,"Does it suit the stature of an Indian PM to visit individual cos seeking investments?(2/4)",,,,648735121458069504,https://twitter.com/ArvindKejriwal/status/648735121458069504
2015-09-29 05:44:08,ArvindKejriwal,,1487,1317,928,"PM Modi's US trip ends. Time to ponder what has country achieved from his foreign trips so far?(1/4)",,,,648734986900647936,https://twitter.com/ArvindKejriwal/status/648734986900647936
