date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-08-30 18:07:18,OmarAbdullah,,62,116,133,"The Chinese may be on to something here. Do you think the Indian navy should try & hide its Subs under water? :-)pic.twitter.com/1S9tbOXQ5t",,,,638050373878444032,https://twitter.com/OmarAbdullah/status/638050373878444032
2015-08-30 15:30:38,BJP4India,,99,202,386,"प्रधानमंत्री श्री नरेन्द्र मोदी ने 11वीं 'मन की बात' के माध्यम से देश को सम्बोधित किया - https://soundcloud.com/narendramodi/pm-modis-mann-ki-baat-august-2015 …pic.twitter.com/aTl5pCRAdH",,,,638010947525718016,https://twitter.com/BJP4India/status/638010947525718016
2015-08-30 14:10:00,OmarAbdullah,kushanmitra,4,4,10,"@kushanmitra if they end an inch or so above your knees, no shorter, paired with a smart shirt & no flip-flops go for them :)",,@kushanmitra,,637990657886322689,https://twitter.com/OmarAbdullah/status/637990657886322689
2015-08-30 14:04:31,mkstalin,,19,39,72,"Download MK Stalin app on Android(http://bit.ly/1LDtuem ) iOS(http://bit.ly/1F94HtB ) Windows(http://bit.ly/1Ju2yNm )&stay connected with me",,,,637989278165762049,https://twitter.com/mkstalin/status/637989278165762049
2015-08-30 14:03:46,mkstalin,,27,60,143,"Launching 'M.K. Stalin’ mobile app.Look forward to interacting with you.Share your suggestions & views.I am listeningpic.twitter.com/KEbarEVbWx",,,,637989088214159360,https://twitter.com/mkstalin/status/637989088214159360
2015-08-30 12:48:26,INCIndia,,27,166,141,"कुछ लोगों को बिहार को नीचा दिखाने में बहुत आनंद आता है: श्रीमती सोनिया गांधी #स्वाभिमानरैली #SoniaKiHunkaar Watch:http://khabar.ndtv.com/video/show/news/sonia-gandhi-hits-out-pm-modi-over-land-ordinance-at-patna-rally-380890 …",,,#स #SoniaKiHunkaar,637970128609538048,https://twitter.com/INCIndia/status/637970128609538048
2015-08-30 11:46:29,narendramodi,,741,1563,2863,"Here is today's #MannKiBaat.https://soundcloud.com/narendramodi/pm-modis-mann-ki-baat-august-2015 …",,,#MannKiBaat,637954540252213251,https://twitter.com/narendramodi/status/637954540252213251
2015-08-30 11:06:46,laluprasadrjd,,189,141,190,"रैली को ऐतिहासिक बनाने के लिए सभी को बधाई व धन्यवाद. यह बीजेपी की तरह भाड़े की नहीं बल्कि अपने आत्मसम्मान की आवाज़ पर स्वंय आई भीड़ थी.",,,,637944542814015489,https://twitter.com/laluprasadrjd/status/637944542814015489
2015-08-30 10:05:40,OmarAbdullah,rahulkanwal,47,238,174,"This is what happens when people get swept up by all the adulation, they have a stupid solution for everything.https://twitter.com/rahulkanwal/status/637910991506804736 …",,,,637929169863745536,https://twitter.com/OmarAbdullah/status/637929169863745536
2015-08-30 10:02:32,OmarAbdullah,naseerganai,25,28,29,"That's why the @jkpdp @BJP4India combine is celebrating 7th Sept. They want to celebrate their shared incompetence.https://twitter.com/naseerganai/status/637925416418717696 …",,@jkpdp @BJP4India,,637928380764172288,https://twitter.com/OmarAbdullah/status/637928380764172288
2015-08-30 08:58:17,INCIndia,,40,282,234,"जिन्होंने अपने 56 इंच का सीना दिखाकर देश की जनता से इतने सारे झूठे और खोखले वादे किये, क्या आप उसपर विश्वास करेंगे? : श्रीमती सोनिया गांधी",,,,637912210581274624,https://twitter.com/INCIndia/status/637912210581274624
2015-08-30 08:55:56,INCIndia,,21,206,173,"प्रधानमंत्री मोदी जी की गलत नीतियों की वजह से अर्थ व्यवस्था ख़राब हो गयी है : श्रीमती सोनिया गांधी #स्वाभिमानरैली",,,#स,637911617577947136,https://twitter.com/INCIndia/status/637911617577947136
2015-08-30 08:54:13,INCIndia,,22,134,86,"मोदी सरकार किसान विरोधी सरकार है , जो किसानों की ज़मीन छीनकर अपने चाँद अमीर दोस्तों में बाटना चाहती है:श्रीमती सोनिया गांधी #स्वाभिमानरैली",,,#स,637911185799548928,https://twitter.com/INCIndia/status/637911185799548928
2015-08-30 08:51:05,INCIndia,,15,128,95,"मुझे मालूम है की बिहार के लोग अपने स्वाभिमान के लिये हमेशा सचेत रहते है : श्रीमती सोनिया गांधी #स्वाभिमानरैली",,,#स,637910400059600896,https://twitter.com/INCIndia/status/637910400059600896
2015-08-30 08:49:22,INCIndia,,13,123,88,"बिहार तमाम स्वाधीनता सेनानियों की धरती है : श्रीमती सोनिया गांधी #SwaabhimaanRally",,,#SwaabhimaanRally,637909968616730624,https://twitter.com/INCIndia/status/637909968616730624
2015-08-30 08:47:35,INCIndia,,3,99,72,"This land is the land that sends across the message of peace: Smt. Sonia Gandhi #SwaabhimaanRally",,,#SwaabhimaanRally,637909519218053120,https://twitter.com/INCIndia/status/637909519218053120
2015-08-30 08:46:17,INCIndia,,17,163,169,"Congress President Sonia Gandhi speaking at #Swaabhimaanrally in Patna, Bihar.pic.twitter.com/BeSqbDqjJY",,,#Swaabhimaanrally,637909191877767168,https://twitter.com/INCIndia/status/637909191877767168
2015-08-30 08:45:47,INCIndia,,18,195,154,"हमने मिलकर जमीन अधिग्रहण कानून के खिलाफ लड़ाई लड़ी और जीती- कांग्रेस अध्यक्षा श्रीमति सोनिया गांधी",,,,637909063343276032,https://twitter.com/INCIndia/status/637909063343276032
2015-08-30 08:43:54,INCIndia,,9,208,152,"हमारा गठबंधन सभी जातियों और वंचित लोगों की आवाज़ है- कांग्रेस अध्यक्षा श्रीमति सोनिया गांधी",,,,637908590993379328,https://twitter.com/INCIndia/status/637908590993379328
2015-08-30 08:42:18,INCIndia,,11,102,75,"क्या आप भाजपा के खोखले वादों पर फिर भरोसा करेंगें - कांग्रेस अध्यक्षा श्रीमति सोनिया गांधी",,,,637908187144810497,https://twitter.com/INCIndia/status/637908187144810497
