date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2014-11-29 14:40:07,narendramodi,,292,643,1560,"Among other issues, talked about difference between flies & honeybees vis-a-vis media & which papers I trust.Do hear.http://nm4.in/1yuF71u",,,,538703959863853056,https://twitter.com/narendramodi/status/538703959863853056
2014-11-29 14:38:49,narendramodi,,99,513,1281,"Attended Platinum Jubilee celebrations of Assam Tribune. It was great being among those who have made a difference through power of the pen.",,,,538703635346358272,https://twitter.com/narendramodi/status/538703635346358272
2014-11-29 14:38:19,narendramodi,,132,612,1319,"Connectivity is essential for the Northeast. Good connectivity to the Northeast will bring the entire nation here.http://nm4.in/11E1g0y",,,,538703506992279552,https://twitter.com/narendramodi/status/538703506992279552
2014-11-29 14:37:58,narendramodi,,99,516,1181,"Talked about importance of next-gen infrastructure, railway modernisation & technology upgradation for the overall progress of our Nation.",,,,538703421176836097,https://twitter.com/narendramodi/status/538703421176836097
2014-11-29 14:37:41,narendramodi,,293,1034,2176,"Welcoming Meghalaya to the Railway Map of India! Flagged off 1st train from Mendipathar, Meghalaya to Guwahati.pic.twitter.com/vgXG6eg4Hr",,,,538703348195917824,https://twitter.com/narendramodi/status/538703348195917824
2014-11-29 14:35:46,narendramodi,,186,637,1488,"I am very happy to be in Assam! The warmth & hospitality of the people is special. Completely overwhelming.",,,,538702866840838144,https://twitter.com/narendramodi/status/538702866840838144
2014-11-29 13:14:56,PMOIndia,,96,193,492,"I am here to salute all those people who worked with this paper: PM @narendramodi",,@narendramodi,,538682524172832768,https://twitter.com/PMOIndia/status/538682524172832768
2014-11-29 13:05:09,PMOIndia,,17,126,328,"Newspapers born during the time in which Assam Tribune were born in circumstances that were painful: PM @narendramodi",,@narendramodi,,538680063059701760,https://twitter.com/PMOIndia/status/538680063059701760
2014-11-29 13:02:08,PMOIndia,,43,136,303,"Newspapers mould our thoughts: PM @narendramodi",,@narendramodi,,538679303915855872,https://twitter.com/PMOIndia/status/538679303915855872
2014-11-29 13:00:37,PMOIndia,,28,159,369,"I am coming among those people who have used the power of the pen for society: PM @narendramodi",,@narendramodi,,538678921491779584,https://twitter.com/PMOIndia/status/538678921491779584
2014-11-29 12:45:35,PMOIndia,,18,115,302,"PM @narendramodi has arrived at the platinum jubilee celebrations of Assam Tribune. Watch.https://www.youtube.com/watch?v=AOecqVa-3CA …",,@narendramodi,,538675139370844160,https://twitter.com/PMOIndia/status/538675139370844160
2014-11-29 12:13:54,PMOIndia,,60,222,406,"We want Railway Universities in the various parts of the nation. Youth who study there can work for the Railways: PM Narendra Modi",,,,538667164442836992,https://twitter.com/PMOIndia/status/538667164442836992
2014-11-29 12:11:01,PMOIndia,,77,213,359,"Under our new Rail Minister @sureshpprabhu things will move ahead at a very quick pace: PM @narendramodi on efforts to modernise Railways",,@sureshpprabhu @narendramodi,,538666438270386176,https://twitter.com/PMOIndia/status/538666438270386176
2014-11-29 12:07:03,PMOIndia,,64,218,421,"I am taking special interest in the development of the Northeast: PM @narendramodi",,@narendramodi,,538665441800232960,https://twitter.com/PMOIndia/status/538665441800232960
2014-11-29 12:00:36,PMOIndia,,43,246,397,"If the Northeast gets good connectivity, then the entire nation will come here: PM @narendramodi",,@narendramodi,,538663817212080128,https://twitter.com/PMOIndia/status/538663817212080128
2014-11-29 11:59:09,PMOIndia,,40,161,326,"Infrastructure is very important in the development journey: PM @narendramodi",,@narendramodi,,538663450722172928,https://twitter.com/PMOIndia/status/538663450722172928
2014-11-29 11:54:23,PMOIndia,,46,216,381,"If we take good care of the Northeast the entire India will move ahead: PM @narendramodi",,@narendramodi,,538662254049505280,https://twitter.com/PMOIndia/status/538662254049505280
2014-11-29 11:53:56,PMOIndia,,100,466,484,"It is believed in Vastu Shastra that Northeastern part of the house must be proper. Then things will be good in the home: PM @narendramodi",,@narendramodi,,538662138701950976,https://twitter.com/PMOIndia/status/538662138701950976
2014-11-29 11:51:34,PMOIndia,,40,236,365,"Today is an important occasion in the history of the Railways. A state of India is about to be linked with the Railways: PM @narendramodi",,@narendramodi,,538661542611668993,https://twitter.com/PMOIndia/status/538661542611668993
