date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2014-05-27 17:47:59,OmarAbdullah,,221,94,188,"That's the problem with 140 letters - take ""educated"" in last tweet to mean ""highly qualified"" but I'm sure you get what I mean regardless.",,,,471347096667168768,https://twitter.com/OmarAbdullah/status/471347096667168768
2014-05-27 17:33:20,OmarAbdullah,,714,1481,936,"To say that someone needs to be educated to be HRD Min is like saying one needs to be a pilot for Civil Aviation or a miner for Coal Min.",,,,471343409651666944,https://twitter.com/OmarAbdullah/status/471343409651666944
2014-05-27 16:12:59,AmitShah,,230,484,703,"देश की सफलता और संस्कृति की रक्षा हमारा प्रणpic.twitter.com/9H5DhGIobf",,,,471323188878524417,https://twitter.com/AmitShah/status/471323188878524417
2014-05-27 15:55:55,OmarAbdullah,,497,394,343,"First day; first show :-)pic.twitter.com/5HbRE91DFo",,,,471318892741025794,https://twitter.com/OmarAbdullah/status/471318892741025794
2014-05-27 15:49:44,BJP4India,,52,192,337,"Portfolios of the Union Council of Ministers. Read at http://pmindia.gov.in/details10.php pic.twitter.com/CPqGPnOrlE",,,,471317336784261120,https://twitter.com/BJP4India/status/471317336784261120
2014-05-27 15:15:07,laluprasadrjd,,79,18,27,"Will keep on fighting tooth & nail for the betterment of Bihar.",,,,471308623579074562,https://twitter.com/laluprasadrjd/status/471308623579074562
2014-05-27 14:36:29,PMOIndia,,381,784,1013,"All Tweets from this account up till 26th May 2014 have been archived and can be seen here http://www.pmindia.gov.in/pmoIndia/index.html …",,,,471298904143577090,https://twitter.com/PMOIndia/status/471298904143577090
2014-05-27 14:18:22,PMOIndia,,435,1218,1332,"You are invited to visit the revamped official website of the PMO http://www.pmindia.gov.in @narendramodi",,@narendramodi,,471294344360501250,https://twitter.com/PMOIndia/status/471294344360501250
2014-05-27 14:10:24,PMOIndia,,797,1539,2333,"Prime Minister Narendra Modi began his first day in the PMO by offering tributes to Mahatma Gandhipic.twitter.com/Y0nNFxCi8r",,,,471292337973235712,https://twitter.com/PMOIndia/status/471292337973235712
2014-05-27 13:59:01,BJP4India,,76,279,436,"Prime Minister Shri @narendramodi chairing the first cabinet meeting.pic.twitter.com/5cc8ncURyz",,@narendramodi,,471289475935379457,https://twitter.com/BJP4India/status/471289475935379457
2014-05-27 13:53:18,OmarAbdullah,,243,99,113,"What is PDP getting agitated about? They were the ones who worked to benefit the BJP in the state with the tacit understanding.",,,,471288034185342977,https://twitter.com/OmarAbdullah/status/471288034185342977
2014-05-27 13:53:02,ncbn,,69,66,102,"On 33rd Mahanadu, at this auspicious moment, in the presence of thousands of TDP foot soldiers, I dedicate this victory to the people of AP.",,,,471287969899245568,https://twitter.com/ncbn/status/471287969899245568
