date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2017-12-30 17:00:30,BJP4India,,117,473,1453,"Within hours of India registering a strong protest with Palestine regarding its Ambassador to Pakistan, Walid Abu Ali sharing dais with terrorist, Jamaat-ud-Dawa chief and mastermind of 26/11 Mumbai terror attacks Hafiz Saeed, the government of Palestine recalls him. #NewIndiapic.twitter.com/z1m3aMOE8Z",,,#NewIndiapic,947150412355739648,https://twitter.com/BJP4India/status/947150412355739648
2017-12-30 16:37:07,BJP4India,,203,810,3776,"Now T⃥a⃥l⃥a⃥q⃥ ⃥, T⃥a⃥l⃥a⃥q⃥ ⃥, T⃥a⃥l⃥a⃥q⃥.pic.twitter.com/diimPg5nsE",,,,947144529043263488,https://twitter.com/BJP4India/status/947144529043263488
2017-12-30 16:28:26,INCIndia,,256,1516,5037,"Congratulations to @NSUI for winning 2 out of 3 positions in Sampurnand Sanskrit Vishwavidyalaya in PM Modi's constituency, Varanasi. #KashiWithNSUI",,@NSUI,#KashiWithNSUI,947142344733745152,https://twitter.com/INCIndia/status/947142344733745152
2017-12-30 16:22:59,SachinPilot,,175,560,2845,"बीकानेर के पूर्व महापौर एवं खादी बोर्ड के पूर्व अध्यक्ष श्री भवानी शंकर शर्मा जी के निधन पर गहरा शोक प्रकट करता हूँ। ईश्वर दिवंगत आत्मा को शांति प्रदान करे और परिजनों को संबल दे।",,,,947140970499399680,https://twitter.com/SachinPilot/status/947140970499399680
2017-12-30 12:13:41,BJP4India,,180,1122,2092,"Another BJP worker has been brutally murdered in Tripura. Staring at defeat in upcoming elections, CPM has resorted to violence. @BJP4Tripurapic.twitter.com/4Ed8bgBoU7",,@BJP4Tripurapic,,947078234260115456,https://twitter.com/BJP4India/status/947078234260115456
2017-12-30 12:03:38,INCIndia,,55,488,1505,"AICC Press Release: Appointment of the Pradesh Election Committee, Campaign Committee and Media Committee for Nagaland.pic.twitter.com/oRI04NuG67",,,,947075706004971523,https://twitter.com/INCIndia/status/947075706004971523
2017-12-30 12:03:32,INCIndia,,32,403,1122,"AICC Press Release: Appointment of thr PCC President, Working President and members of the Pradesh Election Committee for Meghalaya.pic.twitter.com/eNdHM6S8wa",,,,947075681539649536,https://twitter.com/INCIndia/status/947075681539649536
2017-12-30 11:46:07,mkstalin,,124,276,1782,"கரும்பு விவசாயிகள் வாழ்வில் வளம் பெறவும், கிராமங்களில் சிறு தொழிலாக செய்யப்படும் வெல்ல உற்பத்தி மேம்படவும், இந்த வருடம் பொங்கல் பரிசாக தமிழக அரசு அறிவித்துள்ள பொருட்களில் சர்க்கரைக்குப் பதில் தி.மு.கழக ஆட்சியில் வழங்கப்பட்டது போல் வெல்லம் வழங்கிட நடவடிக்கை எடுக்க வேண்டும்.pic.twitter.com/1bftyVHEDd",,,,947071296092827648,https://twitter.com/mkstalin/status/947071296092827648
2017-12-30 11:24:11,BJP4India,,85,320,1731,"In pictures: Newly elected Chief Minister of Himachal Pradesh, Shri @jairamthakurbjp met BJP National President, Shri @AmitShah in New Delhi today.pic.twitter.com/ori0sKsFqA",,@jairamthakurbjp @AmitShah,,947065776107806721,https://twitter.com/BJP4India/status/947065776107806721
2017-12-30 10:21:40,narendramodi,,2552,4529,27926,"Do tune in at 11 AM tomorrow. #MannKiBaatpic.twitter.com/LlwrZPQDxo",,,#MannKiBaatpic,947050043256717312,https://twitter.com/narendramodi/status/947050043256717312
2017-12-30 10:13:42,PMOIndia,,1398,3033,22237,"At 10:15 AM tomorrow, PM @narendramodi will deliver the inaugural address for the 85th Sivagiri Pilgrimage Celebrations at Sivagiri Mutt, Varkala, Kerala, via video conference.",,@narendramodi,,947048037888561152,https://twitter.com/PMOIndia/status/947048037888561152
2017-12-30 09:37:12,BJP4India,,146,834,2951,"शरिया का सही अर्थ क़ानून नहीं है, बल्कि अल्लाह द्वारा दिखाया गया रास्ता है। लेकिन क़ानून बनाने वाले मर्द थे। ऐसे बहुत उदाहरण मिलते हैं जिसमें मर्दों ने अपनी सुविधा के अनुसार इस्लामिक क़ानून बदल दिए लेकिन औरतों की सुरक्षा और भलाई के मसले पर इंसाफ़ नहीं किया: श्री @mjakbarpic.twitter.com/Php5D7HwF4",,@mjakbarpic,,947038854187331584,https://twitter.com/BJP4India/status/947038854187331584
2017-12-30 09:35:29,BJP4India,,94,909,2351,"The venomous slogan 'Islam is in danger' was used to divide the country before independence, that is still being used today to divide the society. As a Muslim, I want to say that it's only the monopoly of few Muslim men, not Islam, that is in danger: Shri @mjakbarpic.twitter.com/F7zJwfTRn0",,@mjakbarpic,,947038422618685440,https://twitter.com/BJP4India/status/947038422618685440
2017-12-30 07:51:51,BJP4India,,648,4226,11002,"The original copy of the Constitution of India had sketches representing Indian heritage like Vedic life of India, Lord Ram, Lord Krishna, Lord Nataraj to depict various chapters. If same sketches were to be used today, there would be an outcry that India is becoming communal!pic.twitter.com/8QyGGLFCbv",,,,947012343216488448,https://twitter.com/BJP4India/status/947012343216488448
2017-12-30 07:46:49,AmitShah,,785,1728,12398,"हिमाचल प्रदेश के नवनिर्वाचित मुख्यमंत्री श्री जयराम ठाकुर जी को पदभार ग्रहण करने पर बधाई दी। मुझे विश्वास है कि उनके नेतृत्व में प्रदेश की भाजपा सरकार विकास और प्रगति के नए मापदंड स्थापित कर देवभूमि में जनकल्याणकारी राज्य के एक नए अध्याय की शुरुआत करेगी।pic.twitter.com/c7eq5kqthP",,,,947011072736739328,https://twitter.com/AmitShah/status/947011072736739328
2017-12-30 06:12:24,INCIndia,,260,1045,3938,"#GST लागू किए जाने से फिल्म निर्माण की अर्थव्यवस्था पर असर पड़ा है।: सिद्धार्थ रॉय कपूरhttps://www.navjivanindia.com/cinema/siddharth-roy-kapoor-says-due-to-gst-huge-set-back-for-the-film-industry …",,,#GST,946987315523489792,https://twitter.com/INCIndia/status/946987315523489792
2017-12-30 05:49:52,BJP4India,,250,771,4155,"#ModiGovtWithSoldiers : 10,207 पूर्व सैनिकों के आश्रितों के कल्याण के लिए ₹ 14 करोड़ से ज़्यादा की सहायता राशि ‘रक्षा मंत्री पूर्व सैनिक कल्याण कोष’ के तहत मोदी सरकार द्वारा स्वीकृत की गई।pic.twitter.com/b7NnuwisMX",,,#ModiGovtWithSoldiers,946981641997578246,https://twitter.com/BJP4India/status/946981641997578246
2017-12-30 05:18:08,laluprasadrjd,,3780,1613,13379,"सोने को तपाया जाता है तो उसका क्या होता है?",,,,946973658190266368,https://twitter.com/laluprasadrjd/status/946973658190266368
2017-12-30 03:06:15,ncbn,,40,196,2102,"Remembering the Father of Indian Space Programme, Dr. Vikram Sarabhai on his death anniversary.",,,,946940466292862976,https://twitter.com/ncbn/status/946940466292862976
2017-12-30 02:10:49,MamataOfficial,,75,180,2036,"Solemnly remembering the great nuclear scientist, Vikram Sarabhai on his death anniversary",,,,946926517904326656,https://twitter.com/MamataOfficial/status/946926517904326656
2017-12-30 01:41:22,ArvindKejriwal,,232,854,2582,"pic.twitter.com/FCym87nMm4",,,,946919105512194048,https://twitter.com/ArvindKejriwal/status/946919105512194048
2017-12-29 17:00:40,ncbn,,87,187,1619,"కోట్లాది ప్రజల దాహార్తి తీరుస్తూ.. లక్షల ఎకరాలకు సాగునీరిస్తోన్న ప్రకాశం బ్యారేజీ నిర్మించి నేటికి అరవై ఏళ్లు.. తెలుగు ప్రజలకు అందిస్తోన్నసేవలకు ప్రతిగా 60 ఏళ్ల వేడుకలు నిర్వహించి భావితరాలకు బ్యారేజీ విశిష్టతను తెలియజేసే ప్రయత్నం ఇది..pic.twitter.com/UMxUOq4xkt",,,,946788068702355457,https://twitter.com/ncbn/status/946788068702355457
2017-12-29 16:24:04,arunjaitley,,160,395,3032,"Chairing the 18th Meeting of Financial Stability and Development Council /Pre-budget consultations with the Regulators, December 29, 2017pic.twitter.com/bdnqt0dOfz",,,,946778858140737536,https://twitter.com/arunjaitley/status/946778858140737536
2017-12-29 16:16:09,BJP4India,,282,879,4053,"दिल्ली की अनाधिकृत कॉलोनियों व झुग्गी-झोपड़ी में रहने वाले परिवारों को मोदी सरकार ने दी बड़ी राहत। 3 साल तक अनाधिकृत कॉलोनियों व झुग्गी-झोपड़ी में रहने वाले परिवारों को हटाने या अन्य किसी कार्रवाई से राहत।pic.twitter.com/rVOLSpy5bv",,,,946776863631851520,https://twitter.com/BJP4India/status/946776863631851520
2017-12-29 15:00:01,ArvindKejriwal,AnkitLal,294,1028,2721,"U must read this letter...https://twitter.com/ankitlal/status/946756892155461632 …",,,,946757704621494272,https://twitter.com/ArvindKejriwal/status/946757704621494272
2017-12-29 14:45:31,MamataOfficial,,70,121,1246,"Today I attended the session of the 78th Indian History Congress being held in Kolkata, at Nazrul Mancha. My latest FB post >> https://goo.gl/Tau8Jx pic.twitter.com/iLyegxbUeb",,,,946754056084533248,https://twitter.com/MamataOfficial/status/946754056084533248
2017-12-29 14:22:29,RajaBrar_INC,,10,362,1218,"अग्नि सुरक्षा मापदंडों की जब-जब होती उपेक्षा अपार, कमला मिल्स की घटना जैसी जान-माल की क्षति होती बार बार।",,,,946748257744519168,https://twitter.com/RajaBrar_INC/status/946748257744519168
2017-12-29 14:01:52,mkstalin,,74,157,1048,"Criminality and imprisonment in The Muslim Women (Protection of Rights on Marriage) Bill is against the spirit of Supreme court Judgment on Triple Talaq. I demand the bjp led Central Government to refer this Bill to the Select Committee for wider consultation. #TripleTalaqBillpic.twitter.com/vdp06LrjWq",,,#TripleTalaqBillpic,946743073278607360,https://twitter.com/mkstalin/status/946743073278607360
2017-12-29 14:00:04,INCIndia,,68,702,1684,"Global trade recovered sharply in 2017. However, India has failed to capitalise on it. Export growth has not kept up with its emerging market peers.https://www.inc.in/en/in-focus/india-a-dark-spot-amidst-a-shining-world-economy …",,,,946742617097764865,https://twitter.com/INCIndia/status/946742617097764865
2017-12-29 13:30:00,INCIndia,,58,564,1311,"The shoddy implementation of #GST has had a chilling effect on the economyhttps://www.inc.in/en/in-focus/an-economy-chained …",,,#GST,946735052108521473,https://twitter.com/INCIndia/status/946735052108521473
2017-12-29 13:00:00,INCIndia,,106,586,1445,"The Modi Govt's Jammu & Kashmir policy is clearly not making a difference.https://www.inc.in/en/in-focus/rising-infiltrations-in-jk-stoke-fresh-fears …",,,,946727501719416832,https://twitter.com/INCIndia/status/946727501719416832
2017-12-29 12:39:45,PMOIndia,,1205,1972,19833,"Shri Jairam Thakur, Chief Minister of Himachal Pradesh called on PM @narendramodi.pic.twitter.com/JOfo3loyB4",,@narendramodi,,946722407955361793,https://twitter.com/PMOIndia/status/946722407955361793
2017-12-29 12:30:06,INCIndia,,488,1099,4015,"मोदी राज में जिंदगी से भी ज्यादा जरुरी हुआ आधार कार्ड जानलेवा साबित हो रहा, अब वो दिन दूर नहीं जब सांस लेने के लिये भी आधार कार्ड जरुरी होगा #JanKiBaatpic.twitter.com/DUAxwWtWUq",,,#JanKiBaatpic,946719979436519424,https://twitter.com/INCIndia/status/946719979436519424
2017-12-29 12:20:42,INCIndia,,31,544,1214,"The Govt's miscalculations and reckless policies have widened the fiscal deficit well beyond acceptable norms.http://www.business-standard.com/article/reuters/april-nov-fiscal-deficit-hits-112-percent-of-full-year-target-117122900427_1.html …",,,,946717612179841025,https://twitter.com/INCIndia/status/946717612179841025
2017-12-29 12:07:46,AmitShah,,169,922,5196,"Congratulations to @vishy64theking for winning the World Rapid Chess Championship. You have made the entire nation proud.",,@vishy64theking,,946714357970255877,https://twitter.com/AmitShah/status/946714357970255877
2017-12-29 12:06:08,arunjaitley,,90,309,2212,"Sharing my response in the Lok Sabha with respect to discussions on the Insolvency and Bankruptcy Code (Amendment) Bill 2017, December 29, 2017https://www.youtube.com/watch?v=Hih43Qv6M2E …",,,,946713947037622272,https://twitter.com/arunjaitley/status/946713947037622272
2017-12-29 11:03:45,INCIndia,,82,507,1033,"NPAs are the latest in the long line of economic indicators that are turning sour. A deeper look shows that PM Modi #Demonetisation and poor #GST implementation have compounded the #NPA mess.pic.twitter.com/ZHICXJ5A3s",,,#Demonetisation #GST #NPA,946698245824176129,https://twitter.com/INCIndia/status/946698245824176129
2017-12-29 11:00:06,BJP4India,,317,1396,5583,"मोदी सरकार के प्रयासों से मुस्लिम महिलाओं में जश्न का माहौल। #TripleTalaqBillpic.twitter.com/4fTVtqv0cV",,,#TripleTalaqBillpic,946697328425017344,https://twitter.com/BJP4India/status/946697328425017344
2017-12-29 10:51:12,BJP4India,,42,372,1429,"Lok Sabha passes ‘The Insolvency and Bankruptcy Code (Amendment) Bill, 2017’. Watch Finance Minister Shri @ArunJaitley’s reply.https://www.youtube.com/watch?v=5Yujf1DJRUo …",,@ArunJaitley,,946695088352124931,https://twitter.com/BJP4India/status/946695088352124931
2017-12-29 10:20:04,narendramodi,,1734,7484,43277,"Congratulations @vishy64theking! You've proven your mettle time and again. Your tenacity inspires us. India is proud of your exemplary success at the World Rapid Chess Championship!",,@vishy64theking,,946687254918918144,https://twitter.com/narendramodi/status/946687254918918144
2017-12-29 10:07:45,BJP4India,,63,505,1730,"#ModiGovtWithSoldiers : More than Rs. 14 Crore of financial assistance approved by Modi government for 10,207 dependents of veterans of the Armed Forces from Raksha Mantri Ex-Servicemen Welfare Fund.pic.twitter.com/Zl8LEjkdVd",,,#ModiGovtWithSoldiers,946684152476196864,https://twitter.com/BJP4India/status/946684152476196864
