date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2017-08-30 17:33:48,RahulGandhi,bsindia,1046,3239,6161,"A colossal failure which cost innocent lives and ruined the economy. Will the PM own up? #DemonetisationDisasterhttps://twitter.com/bsindia/status/902866961117437954 …",,,#DemonetisationDisasterhttps,902947473878016000,https://twitter.com/RahulGandhi/status/902947473878016000
2017-08-30 17:30:01,BJP4India,,216,518,2580,"मोदी सरकार के कुशल नेतृत्व में साकार हो रहा है डिजिटल भारत का सपना : भीम ऐप द्वारा लेनदेन में अभूतपूर्व वृद्धि।pic.twitter.com/0aOg8NDiUu",,,,902946524040232960,https://twitter.com/BJP4India/status/902946524040232960
2017-08-30 16:34:01,INCIndia,,156,938,1669,"Congress' stand is vindicated. False claims made by Modi fall flat- #DemonetisationDisasterpic.twitter.com/1AQoEFl6l4",,,#DemonetisationDisasterpic,902932427693187072,https://twitter.com/INCIndia/status/902932427693187072
2017-08-30 15:24:21,laluprasadrjd,,773,1028,4480,"इतना ईमानदार CM है कि सृजन घोटाले में 9 साल से लगातार शिकायत आने के बावजूद भी नीतीश ने संज्ञान नहीं लिया। भारी हिस्सेदारी जो थी। #SrijanScampic.twitter.com/FW0qNmi273",,,#SrijanScampic,902914896039251968,https://twitter.com/laluprasadrjd/status/902914896039251968
2017-08-30 15:08:16,MamataOfficial,,354,726,2310,"Is not the RBI’s revelation on #DeMonetisation pointing to a big scam? I feel it was totally a flop show https://goo.gl/QCoEMm",,,#DeMonetisation,902910851077742592,https://twitter.com/MamataOfficial/status/902910851077742592
2017-08-30 14:51:47,mkstalin,mkstalin,219,491,2186,"பாஜக வின் ‘மைனாரிட்டி பொம்மை’ அரசை அகற்ற மாண்புமிகு ஆளுநர் தன்னிடம் உள்ள பந்தைப் பயன்படுத்த தவறினால் திமுக தனது பந்தைப் பயன்படுத்த தயங்காது.",,,,902906702747414529,https://twitter.com/mkstalin/status/902906702747414529
2017-08-30 14:51:09,mkstalin,,112,364,1506,"குதிரைபேர அதிமுக அரசு பெரும்பான்மை இழந்து விட்டதாக கருத முடியாதென ஆளுநர் தெரிவித்திருப்பது, ஜனநாயக படுகொலைக்கு பச்சைக்கொடி காட்டுவதற்கு சமம்pic.twitter.com/KeX2xcrinx",,,,902906542546051072,https://twitter.com/mkstalin/status/902906542546051072
2017-08-30 14:48:36,SachinPilot,,36,265,532,"Traveling back to Jaipur made many stops, met workers and supporters in Mandal, Jhahzpur, Hindoli and Deoli assembly constituenciespic.twitter.com/lKYjeCMAOh",,,,902905899500441601,https://twitter.com/SachinPilot/status/902905899500441601
2017-08-30 14:47:06,BJP4India,,55,348,1150,"Outstanding growth marked in value of transactions through BHIM App in last 3 months.pic.twitter.com/I0bU2J1t2N",,,,902905524429012992,https://twitter.com/BJP4India/status/902905524429012992
2017-08-30 14:37:50,OmarAbdullah,Suparna_Singh,22,51,173,"Regional satraps emboldened enough to take on the party high command can't be a comfortable situation for the party.https://twitter.com/suparna_singh/status/902872590435225600 …",,,,902903192253370369,https://twitter.com/OmarAbdullah/status/902903192253370369
2017-08-30 14:35:47,ArvindKejriwal,msisodia,313,1218,2023,"In fact, I offered Hon'ble LG on phone that I could come with officers and Ministers.https://twitter.com/msisodia/status/902901614943518720 …",,,,902902673954848769,https://twitter.com/ArvindKejriwal/status/902902673954848769
2017-08-30 14:35:21,ncbn,,71,270,2670,"Congratulated @Pvsindhu1 & Pullela Gopichand for her recent achievement in #2017BWC.pic.twitter.com/N4PqaTcDNr",,@Pvsindhu1,#2017BWC,902902565557288960,https://twitter.com/ncbn/status/902902565557288960
2017-08-30 14:27:04,SachinPilot,,31,262,614,"Payed my respects to the Late Ms. Kirti Kumari ji, the sitting BJP MLA from Mandalgarh who died Day before yest due to a swine flu infectionpic.twitter.com/MaiX0biXTJ",,,,902900480820494336,https://twitter.com/SachinPilot/status/902900480820494336
2017-08-30 14:21:53,narendramodi,,2923,3406,19536,"Progress of Smart Cities Mission, more effective implementation of the Forest Rights Act through technology were also discussed.",,,,902899174944866304,https://twitter.com/narendramodi/status/902899174944866304
2017-08-30 14:20:45,narendramodi,,1224,3079,16206,"There were extensive deliberations on 9 leading projects worth over Rs. 56,000 crore in key infrastructure sectors.",,,,902898891653124100,https://twitter.com/narendramodi/status/902898891653124100
